Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.522883,-0.016587,0.484714,0.492996,-0.006802,0.437275,0.548071,-0.026010,0.436559
0.010000,0.522889,-0.016559,0.484722,0.492971,-0.006811,0.437273,0.548063,-0.025983,0.436563
0.020000,0.522875,-0.016541,0.484710,0.492954,-0.006797,0.437285,0.548058,-0.026007,0.436551
0.030000,0.522878,-0.016522,0.484722,0.492957,-0.006777,0.437279,0.548037,-0.025976,0.436561
0.040000,0.522882,-0.016511,0.484711,0.492931,-0.006754,0.437282,0.548036,-0.025966,0.436550
0.050000,0.522879,-0.016473,0.484715,0.492948,-0.006728,0.437284,0.548045,-0.025907,0.436539
0.060000,0.522889,-0.016454,0.484702,0.492944,-0.006697,0.437278,0.548042,-0.025882,0.436526
0.070000,0.522894,-0.016387,0.484692,0.492951,-0.006660,0.437271,0.548060,-0.025824,0.436533
0.080000,0.522913,-0.016347,0.484693,0.492923,-0.006579,0.437258,0.548077,-0.025765,0.436514
0.090000,0.522927,-0.016314,0.484676,0.492938,-0.006514,0.437248,0.548081,-0.025757,0.436499
0.100000,0.522933,-0.016247,0.484672,0.492940,-0.006473,0.437238,0.548093,-0.025688,0.436489
0.110000,0.522954,-0.016200,0.484666,0.492958,-0.006428,0.437231,0.548100,-0.025626,0.436487
0.120000,0.522950,-0.016159,0.484662,0.492969,-0.006380,0.437239,0.548117,-0.025542,0.436489
0.130000,0.522968,-0.016112,0.484673,0.492980,-0.006324,0.437242,0.548134,-0.025529,0.436499
0.140000,0.522977,-0.016076,0.484694,0.493037,-0.006319,0.437271,0.548149,-0.025454,0.436504
0.150000,0.522992,-0.016041,0.484704,0.493003,-0.006249,0.437267,0.548152,-0.025425,0.436523
0.160000,0.522981,-0.016008,0.484720,0.493053,-0.006246,0.437287,0.548160,-0.025364,0.436545
0.170000,0.522978,-0.015962,0.484729,0.493058,-0.006201,0.437310,0.548157,-0.025343,0.436565
0.180000,0.522975,-0.015953,0.484761,0.493059,-0.006170,0.437319,0.548177,-0.025265,0.436579
0.190000,0.522974,-0.015930,0.484800,0.493061,-0.006144,0.437333,0.548178,-0.025243,0.436613
0.200000,0.522962,-0.015924,0.484830,0.493035,-0.006091,0.437342,0.548187,-0.025231,0.436637
0.210000,0.522968,-0.015905,0.484849,0.493055,-0.006063,0.437362,0.548206,-0.025210,0.436668
0.220000,0.522956,-0.015914,0.484877,0.493108,-0.006094,0.437387,0.548217,-0.025203,0.436697
0.230000,0.522959,-0.015919,0.484896,0.493124,-0.006068,0.437403,0.548226,-0.025192,0.436724
0.240000,0.522966,-0.015914,0.484915,0.493154,-0.006065,0.437427,0.548251,-0.025161,0.436761
0.250000,0.522971,-0.015932,0.484945,0.493163,-0.006064,0.437439,0.548268,-0.025144,0.436791
0.260000,0.522976,-0.015954,0.484960,0.493181,-0.006068,0.437452,0.548272,-0.025156,0.436817
0.270000,0.522975,-0.015970,0.484979,0.493201,-0.006076,0.437464,0.548297,-0.025151,0.436845
0.280000,0.522988,-0.015971,0.484994,0.493217,-0.006110,0.437475,0.548315,-0.025158,0.436855
0.290000,0.523000,-0.015991,0.485012,0.493248,-0.006088,0.437488,0.548337,-0.025179,0.436875
0.300000,0.523014,-0.015997,0.485022,0.493277,-0.006108,0.437499,0.548360,-0.025147,0.436903
0.310000,0.523031,-0.016021,0.485044,0.493305,-0.006121,0.437508,0.548384,-0.025171,0.436926
0.320000,0.523038,-0.016034,0.485057,0.493342,-0.006134,0.437512,0.548399,-0.025215,0.436940
0.330000,0.523061,-0.016047,0.485061,0.493358,-0.006157,0.437523,0.548414,-0.025209,0.436955
0.340000,0.523064,-0.016064,0.485092,0.493379,-0.006154,0.437533,0.548425,-0.025237,0.436969
0.350000,0.523076,-0.016062,0.485093,0.493397,-0.006179,0.437555,0.548444,-0.025222,0.436981
0.360000,0.523079,-0.016079,0.485105,0.493401,-0.006180,0.437555,0.548450,-0.025266,0.436999
0.370000,0.523085,-0.016085,0.485129,0.493406,-0.006177,0.437573,0.548467,-0.025253,0.437019
0.380000,0.523093,-0.016100,0.485133,0.493417,-0.006178,0.437591,0.548474,-0.025210,0.437032
0.390000,0.523104,-0.016048,0.485175,0.493431,-0.006160,0.437607,0.548490,-0.025225,0.437054
