Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.308675,0.479411,0.677320,-0.287499,0.435148,0.647522,-0.293308,0.434077,0.706192
0.010000,-0.308689,0.479404,0.677322,-0.287510,0.435148,0.647517,-0.293306,0.434101,0.706197
0.020000,-0.308693,0.479408,0.677324,-0.287481,0.435178,0.647531,-0.293320,0.434093,0.706196
0.030000,-0.308695,0.479426,0.677326,-0.287487,0.435198,0.647536,-0.293316,0.434099,0.706212
0.040000,-0.308701,0.479419,0.677332,-0.287484,0.435181,0.647543,-0.293331,0.434087,0.706210
0.050000,-0.308708,0.479422,0.677335,-0.287504,0.435178,0.647537,-0.293316,0.434107,0.706209
0.060000,-0.308710,0.479426,0.677347,-0.287520,0.435173,0.647539,-0.293354,0.434085,0.706216
0.070000,-0.308714,0.479436,0.677352,-0.287516,0.435185,0.647553,-0.293335,0.434113,0.706218
0.080000,-0.308713,0.479437,0.677356,-0.287510,0.435203,0.647550,-0.293327,0.434115,0.706231
0.090000,-0.308718,0.479437,0.677363,-0.287519,0.435198,0.647567,-0.293358,0.434095,0.706245
0.100000,-0.308735,0.479433,0.677380,-0.287529,0.435196,0.647569,-0.293347,0.434111,0.706248
0.110000,-0.308736,0.479438,0.677388,-0.287550,0.435186,0.647576,-0.293383,0.434061,0.706260
0.120000,-0.308739,0.479441,0.677408,-0.287541,0.435201,0.647587,-0.293382,0.434065,0.706281
0.130000,-0.308750,0.479444,0.677432,-0.287559,0.435199,0.647603,-0.293392,0.434072,0.706285
0.140000,-0.308767,0.479446,0.677442,-0.287554,0.435213,0.647616,-0.293500,0.433969,0.706304
0.150000,-0.308768,0.479453,0.677467,-0.287566,0.435218,0.647621,-0.293500,0.433979,0.706335
0.160000,-0.308787,0.479446,0.677470,-0.287570,0.435212,0.647641,-0.293522,0.433968,0.706340
0.170000,-0.308781,0.479465,0.677486,-0.287580,0.435215,0.647646,-0.293507,0.434002,0.706354
0.180000,-0.308795,0.479459,0.677497,-0.287588,0.435236,0.647654,-0.293549,0.433972,0.706354
0.190000,-0.308796,0.479473,0.677500,-0.287600,0.435226,0.647660,-0.293545,0.433991,0.706363
0.200000,-0.308804,0.479472,0.677505,-0.287607,0.435216,0.647671,-0.293563,0.433984,0.706367
0.210000,-0.308809,0.479478,0.677503,-0.287606,0.435216,0.647671,-0.293562,0.434019,0.706364
0.220000,-0.308819,0.479476,0.677497,-0.287603,0.435240,0.647669,-0.293594,0.433998,0.706366
0.230000,-0.308823,0.479477,0.677497,-0.287600,0.435243,0.647665,-0.293588,0.434016,0.706369
0.240000,-0.308822,0.479483,0.677480,-0.287677,0.435160,0.647688,-0.293596,0.433991,0.706359
0.250000,-0.308817,0.479476,0.677482,-0.287593,0.435245,0.647663,-0.293565,0.434027,0.706352
