Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.397510,0.494614,0.612006,-0.371667,0.451774,0.584987,-0.378369,0.452643,0.643450
0.010000,-0.397516,0.494602,0.611975,-0.371668,0.451758,0.584964,-0.378376,0.452643,0.643426
0.020000,-0.397502,0.494594,0.611954,-0.371671,0.451751,0.584945,-0.378362,0.452643,0.643401
0.030000,-0.397511,0.494583,0.611918,-0.371645,0.451776,0.584918,-0.378355,0.452642,0.643375
0.040000,-0.397500,0.494597,0.611892,-0.371639,0.451776,0.584913,-0.378344,0.452649,0.643351
0.050000,-0.397484,0.494598,0.611870,-0.371618,0.451782,0.584891,-0.378320,0.452666,0.643335
0.060000,-0.397489,0.494577,0.611840,-0.371632,0.451746,0.584872,-0.378303,0.452677,0.643309
0.070000,-0.397462,0.494583,0.611812,-0.371614,0.451746,0.584850,-0.378294,0.452671,0.643287
0.080000,-0.397448,0.494568,0.611789,-0.371592,0.451730,0.584843,-0.378273,0.452669,0.643279
0.090000,-0.397428,0.494567,0.611782,-0.371577,0.451731,0.584830,-0.378267,0.452649,0.643265
0.100000,-0.397393,0.494576,0.611784,-0.371584,0.451702,0.584812,-0.378242,0.452645,0.643256
0.110000,-0.397376,0.494561,0.611792,-0.371535,0.451712,0.584823,-0.378214,0.452654,0.643258
0.120000,-0.397345,0.494559,0.611808,-0.371544,0.451706,0.584817,-0.378190,0.452633,0.643260
0.130000,-0.397309,0.494568,0.611829,-0.371499,0.451702,0.584832,-0.378161,0.452620,0.643258
0.140000,-0.397284,0.494543,0.611840,-0.371488,0.451702,0.584834,-0.378137,0.452604,0.643281
0.150000,-0.397264,0.494539,0.611858,-0.371475,0.451688,0.584840,-0.378123,0.452593,0.643280
0.160000,-0.397232,0.494543,0.611872,-0.371430,0.451691,0.584860,-0.378104,0.452598,0.643288
0.170000,-0.397199,0.494541,0.611896,-0.371437,0.451656,0.584871,-0.378095,0.452573,0.643296
0.180000,-0.397174,0.494529,0.611906,-0.371397,0.451651,0.584889,-0.378093,0.452541,0.643315
0.190000,-0.397160,0.494497,0.611904,-0.371368,0.451648,0.584899,-0.378080,0.452511,0.643329
0.200000,-0.397127,0.494508,0.611919,-0.371369,0.451616,0.584900,-0.378346,0.452487,0.643101
0.210000,-0.397114,0.494492,0.611915,-0.371359,0.451585,0.584915,-0.378053,0.452492,0.643335
0.220000,-0.397112,0.494477,0.611898,-0.371351,0.451571,0.584905,-0.378063,0.452481,0.643338
0.230000,-0.397095,0.494470,0.611886,-0.371327,0.451573,0.584906,-0.378054,0.452477,0.643330
0.240000,-0.397094,0.494459,0.611862,-0.371324,0.451565,0.584890,-0.378050,0.452454,0.643316
0.250000,-0.397093,0.494450,0.611845,-0.371323,0.451552,0.584878,-0.378045,0.452451,0.643297
0.260000,-0.397091,0.494441,0.611821,-0.371352,0.451521,0.584857,-0.378024,0.452488,0.643282
0.270000,-0.397087,0.494441,0.611802,-0.371334,0.451543,0.584846,-0.378023,0.452483,0.643267
0.280000,-0.397098,0.494431,0.611776,-0.371305,0.451565,0.584833,-0.378030,0.452472,0.643239
0.290000,-0.397097,0.494444,0.611752,-0.371344,0.451531,0.584792,-0.378026,0.452482,0.643228
0.300000,-0.397105,0.494446,0.611733,-0.371358,0.451543,0.584769,-0.378044,0.452496,0.643206
0.310000,-0.397111,0.494443,0.611709,-0.371371,0.451530,0.584746,-0.378049,0.452498,0.643180
0.320000,-0.397128,0.494444,0.611692,-0.371390,0.451521,0.584737,-0.378035,0.452483,0.643176
0.330000,-0.397138,0.494438,0.611680,-0.371376,0.451550,0.584734,-0.378046,0.452505,0.643164
0.340000,-0.397154,0.494446,0.611670,-0.371423,0.451541,0.584717,-0.378085,0.452496,0.643153
0.350000,-0.397179,0.494447,0.611658,-0.371433,0.451531,0.584705,-0.378084,0.452497,0.643145
0.360000,-0.397192,0.494446,0.611653,-0.371421,0.451567,0.584706,-0.378112,0.452523,0.643136
0.370000,-0.397223,0.494436,0.611644,-0.371446,0.451561,0.584704,-0.378131,0.452531,0.643136
0.380000,-0.397233,0.494453,0.611631,-0.371449,0.451571,0.584703,-0.378147,0.452539,0.643134
0.390000,-0.397256,0.494451,0.611631,-0.371462,0.451567,0.584713,-0.378176,0.452530,0.643133
0.400000,-0.397282,0.494440,0.611621,-0.371495,0.451555,0.584714,-0.378183,0.452532,0.643138
0.410000,-0.397290,0.494467,0.611626,-0.371502,0.451574,0.584706,-0.378196,0.452552,0.643137
0.420000,-0.397308,0.494454,0.611619,-0.371529,0.451549,0.584695,-0.378217,0.452544,0.643139
0.430000,-0.397339,0.494455,0.611612,-0.371534,0.451556,0.584705,-0.378252,0.452534,0.643128
0.440000,-0.397351,0.494463,0.611614,-0.371552,0.451568,0.584689,-0.378252,0.452549,0.643128
0.450000,-0.397376,0.494464,0.611604,-0.371590,0.451568,0.584688,-0.378282,0.452544,0.643126
0.460000,-0.397399,0.494503,0.611590,-0.371599,0.451577,0.584677,-0.378303,0.452532,0.643117
0.470000,-0.397433,0.494463,0.611600,-0.371622,0.451589,0.584683,-0.378329,0.452530,0.643113
0.480000,-0.397464,0.494457,0.611600,-0.371655,0.451587,0.584663,-0.378334,0.452537,0.643102
0.490000,-0.397467,0.494507,0.611578,-0.371679,0.451599,0.584651,-0.378367,0.452537,0.643089
0.500000,-0.397508,0.494479,0.611581,-0.371701,0.451621,0.584641,-0.378394,0.452536,0.643084
0.510000,-0.397537,0.494486,0.611569,-0.371729,0.451610,0.584633,-0.378412,0.452548,0.643077
0.520000,-0.397553,0.494526,0.611543,-0.371730,0.451639,0.584624,-0.378433,0.452559,0.643062
0.530000,-0.397577,0.494519,0.611518,-0.371754,0.451644,0.584600,-0.378451,0.452573,0.643038
0.540000,-0.397598,0.494531,0.611492,-0.371773,0.451642,0.584577,-0.378456,0.452595,0.643024
0.550000,-0.397619,0.494535,0.611471,-0.371783,0.451649,0.584563,-0.378486,0.452593,0.643000
0.560000,-0.397639,0.494537,0.611437,-0.371790,0.451661,0.584547,-0.378498,0.452605,0.642978
0.570000,-0.397656,0.494541,0.611404,-0.371822,0.451650,0.584513,-0.378503,0.452618,0.642953
0.580000,-0.397662,0.494544,0.611377,-0.371816,0.451661,0.584477,-0.378525,0.452611,0.642934
0.590000,-0.397668,0.494546,0.611349,-0.371826,0.451651,0.584462,-0.378531,0.452621,0.642903
0.600000,-0.397679,0.494531,0.611315,-0.371854,0.451623,0.584428,-0.378569,0.452608,0.642871
0.610000,-0.397687,0.494541,0.611293,-0.371860,0.451638,0.584405,-0.378586,0.452607,0.642843
0.620000,-0.397691,0.494542,0.611257,-0.371888,0.451603,0.584377,-0.378589,0.452609,0.642814
0.630000,-0.397702,0.494525,0.611227,-0.371892,0.451607,0.584349,-0.378600,0.452605,0.642786
0.640000,-0.397707,0.494520,0.611215,-0.371892,0.451618,0.584320,-0.378596,0.452609,0.642780
0.650000,-0.397711,0.494532,0.611191,-0.371917,0.451581,0.584295,-0.378607,0.452615,0.642755
0.660000,-0.397715,0.494525,0.611184,-0.371900,0.451618,0.584277,-0.378612,0.452596,0.642747
0.670000,-0.397719,0.494522,0.611175,-0.371930,0.451576,0.584276,-0.378616,0.452606,0.642744
0.680000,-0.397728,0.494521,0.611156,-0.371931,0.451594,0.584259,-0.378617,0.452621,0.642735
0.690000,-0.397734,0.494526,0.611169,-0.371919,0.451606,0.584262,-0.378637,0.452602,0.642727
0.700000,-0.397738,0.494533,0.611158,-0.371922,0.451616,0.584259,-0.378650,0.452606,0.642723
0.710000,-0.397744,0.494537,0.611158,-0.371950,0.451594,0.584256,-0.378652,0.452617,0.642718
0.720000,-0.397741,0.494533,0.611143,-0.371954,0.451598,0.584254,-0.378664,0.452612,0.642722
0.730000,-0.397755,0.494520,0.611139,-0.371938,0.451602,0.584244,-0.378673,0.452611,0.642724
0.740000,-0.397760,0.494524,0.611123,-0.371950,0.451584,0.584241,-0.378663,0.452623,0.642713
0.750000,-0.397770,0.494522,0.611113,-0.371978,0.451576,0.584230,-0.378679,0.452608,0.642701
0.760000,-0.397769,0.494525,0.611115,-0.371973,0.451590,0.584221,-0.378677,0.452624,0.642701
0.770000,-0.397772,0.494549,0.611126,-0.371972,0.451610,0.584235,-0.378684,0.452631,0.642709
0.780000,-0.397748,0.494585,0.611121,-0.371981,0.451615,0.584237,-0.378679,0.452645,0.642718
0.790000,-0.397776,0.494556,0.611144,-0.371981,0.451627,0.584231,-0.378683,0.452650,0.642716
0.800000,-0.397783,0.494555,0.611148,-0.371978,0.451621,0.584237,-0.378682,0.452635,0.642714
0.810000,-0.397773,0.494567,0.611152,-0.371987,0.451633,0.584236,-0.378685,0.452621,0.642716
0.820000,-0.397774,0.494558,0.611144,-0.371968,0.451656,0.584245,-0.378671,0.452628,0.642717
0.830000,-0.397774,0.494548,0.611145,-0.371967,0.451640,0.584240,-0.378682,0.452636,0.642711
0.840000,-0.397759,0.494567,0.611151,-0.371985,0.451611,0.584225,-0.378682,0.452627,0.642701
0.850000,-0.397766,0.494561,0.611148,-0.371960,0.451641,0.584237,-0.378688,0.452616,0.642710
0.860000,-0.397764,0.494550,0.611145,-0.371991,0.451600,0.584225,-0.378697,0.452601,0.642704
0.870000,-0.397767,0.494546,0.611142,-0.371997,0.451581,0.584219,-0.378713,0.452594,0.642705
0.880000,-0.397779,0.494537,0.611134,-0.372000,0.451595,0.584219,-0.378720,0.452592,0.642696
0.890000,-0.397801,0.494538,0.611124,-0.372024,0.451592,0.584220,-0.378734,0.452602,0.642699
0.900000,-0.397818,0.494543,0.611114,-0.372056,0.451571,0.584207,-0.378751,0.452612,0.642689
0.910000,-0.397838,0.494552,0.611108,-0.372042,0.451615,0.584200,-0.378781,0.452613,0.642682
0.920000,-0.397864,0.494547,0.611097,-0.372080,0.451616,0.584191,-0.378802,0.452620,0.642672
0.930000,-0.397886,0.494573,0.611091,-0.372101,0.451624,0.584188,-0.378817,0.452650,0.642667
0.940000,-0.397908,0.494581,0.611079,-0.372112,0.451635,0.584179,-0.378838,0.452644,0.642663
0.950000,-0.397936,0.494576,0.611071,-0.372149,0.451646,0.584168,-0.378857,0.452670,0.642655
0.960000,-0.397968,0.494592,0.611057,-0.372182,0.451646,0.584160,-0.378872,0.452678,0.642644
0.970000,-0.398000,0.494604,0.611051,-0.372188,0.451674,0.584149,-0.378900,0.452701,0.642645
0.980000,-0.398023,0.494614,0.611051,-0.372220,0.451677,0.584137,-0.378925,0.452702,0.642646
0.990000,-0.398049,0.494624,0.611051,-0.372230,0.451705,0.584149,-0.378948,0.452729,0.642627
1.000000,-0.398079,0.494615,0.611047,-0.372236,0.451753,0.584139,-0.378971,0.452746,0.642645
1.010000,-0.398100,0.494625,0.611048,-0.372241,0.451785,0.584142,-0.378990,0.452748,0.642636
1.020000,-0.398134,0.494638,0.611049,-0.372308,0.451740,0.584147,-0.379017,0.452755,0.642638
1.030000,-0.398149,0.494659,0.611054,-0.372313,0.451785,0.584142,-0.379036,0.452772,0.642637
1.040000,-0.398189,0.494665,0.611050,-0.372321,0.451835,0.584137,-0.379057,0.452794,0.642645
1.050000,-0.398208,0.494678,0.611061,-0.372332,0.451851,0.584147,-0.379068,0.452804,0.642638
1.060000,-0.398228,0.494690,0.611059,-0.372359,0.451858,0.584144,-0.379096,0.452810,0.642651
1.070000,-0.398245,0.494701,0.611065,-0.372382,0.451861,0.584151,-0.379111,0.452826,0.642651
1.080000,-0.398259,0.494707,0.611073,-0.372394,0.451871,0.584150,-0.379134,0.452827,0.642650
1.090000,-0.398296,0.494693,0.611066,-0.372416,0.451865,0.584151,-0.379154,0.452818,0.642651
1.100000,-0.398303,0.494697,0.611072,-0.372450,0.451873,0.584146,-0.379174,0.452834,0.642655
1.110000,-0.398316,0.494701,0.611080,-0.372463,0.451878,0.584146,-0.379157,0.452832,0.642661
1.120000,-0.398322,0.494705,0.611078,-0.372437,0.451887,0.584149,-0.379187,0.452825,0.642651
1.130000,-0.398337,0.494702,0.611080,-0.372483,0.451884,0.584144,-0.379189,0.452828,0.642658
1.140000,-0.398329,0.494709,0.611083,-0.372473,0.451896,0.584155,-0.379189,0.452823,0.642655
1.150000,-0.398361,0.494702,0.611086,-0.372481,0.451914,0.584149,-0.379201,0.452820,0.642659
1.160000,-0.398357,0.494711,0.611092,-0.372488,0.451911,0.584154,-0.379198,0.452825,0.642657
1.170000,-0.398373,0.494708,0.611107,-0.372497,0.451919,0.584156,-0.379219,0.452834,0.642665
1.180000,-0.398368,0.494720,0.611104,-0.372515,0.451922,0.584154,-0.379204,0.452849,0.642666
1.190000,-0.398375,0.494717,0.611115,-0.372486,0.451935,0.584162,-0.379213,0.452859,0.642681
1.200000,-0.398373,0.494720,0.611121,-0.372488,0.451942,0.584172,-0.379189,0.452855,0.642682
1.210000,-0.398372,0.494719,0.611125,-0.372485,0.451964,0.584187,-0.379192,0.452851,0.642695
1.220000,-0.398367,0.494733,0.611137,-0.372458,0.451965,0.584187,-0.379205,0.452867,0.642687
1.230000,-0.398371,0.494720,0.611150,-0.372461,0.451963,0.584193,-0.379194,0.452863,0.642711
1.240000,-0.398357,0.494725,0.611160,-0.372402,0.452032,0.584201,-0.379194,0.452861,0.642716
1.250000,-0.398345,0.494731,0.611174,-0.372425,0.451974,0.584226,-0.379180,0.452843,0.642721
1.260000,-0.398343,0.494709,0.611177,-0.372426,0.451953,0.584226,-0.379177,0.452845,0.642727
1.270000,-0.398314,0.494733,0.611178,-0.372409,0.451964,0.584228,-0.379171,0.452831,0.642733
1.280000,-0.398299,0.494734,0.611182,-0.372450,0.451895,0.584244,-0.379150,0.452843,0.642733
1.290000,-0.398298,0.494719,0.611191,-0.372382,0.451945,0.584245,-0.379158,0.452820,0.642733
1.300000,-0.398290,0.494708,0.611189,-0.372417,0.451893,0.584254,-0.379130,0.452841,0.642748
1.310000,-0.398272,0.494721,0.611195,-0.372411,0.451881,0.584252,-0.379108,0.452839,0.642737
1.320000,-0.398261,0.494717,0.611192,-0.372380,0.451899,0.584262,-0.379102,0.452824,0.642738
1.330000,-0.398238,0.494721,0.611197,-0.372363,0.451889,0.584262,-0.379089,0.452828,0.642739
1.340000,-0.398229,0.494709,0.611183,-0.372338,0.451891,0.584255,-0.379066,0.452826,0.642745
