Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.391123,0.491737,0.617965,-0.366003,0.447962,0.591120,-0.375197,0.448136,0.649367
0.010000,-0.391131,0.491707,0.617981,-0.366001,0.447931,0.591120,-0.375142,0.448129,0.649351
0.020000,-0.391083,0.491713,0.617954,-0.365984,0.447925,0.591116,-0.375171,0.448122,0.649367
0.030000,-0.391099,0.491672,0.617955,-0.365975,0.447901,0.591104,-0.375153,0.448125,0.649356
0.040000,-0.391037,0.491706,0.617936,-0.365962,0.447891,0.591099,-0.375084,0.448122,0.649338
0.050000,-0.391023,0.491704,0.617937,-0.365939,0.447902,0.591097,-0.375055,0.448120,0.649327
0.060000,-0.390991,0.491705,0.617943,-0.365945,0.447888,0.591095,-0.375043,0.448125,0.649330
0.070000,-0.390968,0.491698,0.617944,-0.365927,0.447882,0.591093,-0.375018,0.448096,0.649330
0.080000,-0.390952,0.491684,0.617953,-0.365916,0.447854,0.591094,-0.374990,0.448092,0.649323
0.090000,-0.390913,0.491696,0.617948,-0.365864,0.447893,0.591093,-0.374968,0.448096,0.649322
0.100000,-0.390885,0.491682,0.617948,-0.365869,0.447861,0.591080,-0.374956,0.448071,0.649312
0.110000,-0.390834,0.491702,0.617946,-0.365856,0.447830,0.591080,-0.374944,0.448068,0.649309
0.120000,-0.390810,0.491686,0.617937,-0.365829,0.447840,0.591076,-0.374919,0.448059,0.649298
0.130000,-0.390793,0.491686,0.617942,-0.365817,0.447817,0.591076,-0.374913,0.448048,0.649300
0.140000,-0.390780,0.491676,0.617935,-0.365807,0.447816,0.591064,-0.374919,0.448041,0.649297
0.150000,-0.390772,0.491668,0.617930,-0.365819,0.447767,0.591067,-0.374909,0.448033,0.649300
0.160000,-0.390768,0.491674,0.617920,-0.365793,0.447803,0.591063,-0.374920,0.448015,0.649287
0.170000,-0.390764,0.491670,0.617908,-0.365806,0.447779,0.591048,-0.374911,0.448035,0.649283
0.180000,-0.390773,0.491679,0.617897,-0.365814,0.447782,0.591049,-0.374924,0.448036,0.649281
0.190000,-0.390779,0.491677,0.617890,-0.365782,0.447805,0.591045,-0.374929,0.448039,0.649273
0.200000,-0.390807,0.491680,0.617872,-0.365828,0.447791,0.591028,-0.374930,0.448066,0.649267
0.210000,-0.390807,0.491686,0.617857,-0.365830,0.447812,0.591025,-0.374933,0.448057,0.649262
0.220000,-0.390824,0.491701,0.617843,-0.365834,0.447818,0.591006,-0.374941,0.448054,0.649237
0.230000,-0.390833,0.491708,0.617828,-0.365835,0.447834,0.591003,-0.374936,0.448085,0.649237
0.240000,-0.390877,0.491682,0.617809,-0.365845,0.447843,0.590997,-0.374947,0.448079,0.649226
0.250000,-0.390882,0.491696,0.617812,-0.365843,0.447870,0.590976,-0.374945,0.448094,0.649212
0.260000,-0.390888,0.491703,0.617803,-0.365856,0.447861,0.590967,-0.374954,0.448088,0.649208
