Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.372137,0.487980,0.616468,-0.348872,0.442416,0.590653,-0.358146,0.444336,0.648942
0.010000,-0.372120,0.487968,0.616475,-0.348885,0.442383,0.590657,-0.358135,0.444331,0.648946
0.020000,-0.372104,0.487968,0.616483,-0.348863,0.442391,0.590660,-0.358119,0.444339,0.648953
0.030000,-0.372102,0.487952,0.616483,-0.348837,0.442387,0.590667,-0.358112,0.444319,0.648950
0.040000,-0.372077,0.487961,0.616487,-0.348850,0.442363,0.590663,-0.358091,0.444317,0.648959
0.050000,-0.372069,0.487940,0.616479,-0.348847,0.442356,0.590667,-0.358092,0.444319,0.648955
0.060000,-0.372058,0.487940,0.616461,-0.348825,0.442356,0.590666,-0.358085,0.444305,0.648956
0.070000,-0.372053,0.487928,0.616461,-0.348816,0.442361,0.590657,-0.358088,0.444305,0.648935
0.080000,-0.372050,0.487940,0.616452,-0.348817,0.442331,0.590652,-0.358078,0.444297,0.648939
0.090000,-0.372053,0.487928,0.616443,-0.348822,0.442339,0.590640,-0.358076,0.444288,0.648933
0.100000,-0.372050,0.487922,0.616425,-0.348812,0.442345,0.590627,-0.358067,0.444301,0.648921
0.110000,-0.372056,0.487927,0.616413,-0.348834,0.442326,0.590614,-0.358071,0.444298,0.648914
0.120000,-0.372069,0.487936,0.616392,-0.348847,0.442321,0.590605,-0.358093,0.444318,0.648891
0.130000,-0.372077,0.487937,0.616375,-0.348873,0.442308,0.590580,-0.358096,0.444313,0.648873
0.140000,-0.372070,0.487952,0.616331,-0.348860,0.442322,0.590570,-0.358102,0.444335,0.648860
0.150000,-0.372104,0.487938,0.616336,-0.348879,0.442318,0.590559,-0.358116,0.444338,0.648844
0.160000,-0.372120,0.487950,0.616323,-0.348881,0.442342,0.590547,-0.358123,0.444368,0.648829
0.170000,-0.372149,0.487967,0.616311,-0.348898,0.442347,0.590545,-0.358132,0.444370,0.648823
0.180000,-0.372159,0.487978,0.616312,-0.348901,0.442361,0.590531,-0.358132,0.444379,0.648816
0.190000,-0.372145,0.488022,0.616285,-0.348912,0.442381,0.590530,-0.358143,0.444410,0.648818
0.200000,-0.372187,0.488014,0.616298,-0.348904,0.442421,0.590525,-0.358160,0.444409,0.648811
0.210000,-0.372210,0.488023,0.616292,-0.348957,0.442395,0.590503,-0.358168,0.444434,0.648800
0.220000,-0.372238,0.488039,0.616280,-0.348971,0.442417,0.590485,-0.358186,0.444451,0.648779
0.230000,-0.372221,0.488077,0.616255,-0.349002,0.442409,0.590462,-0.358205,0.444462,0.648767
0.240000,-0.372244,0.488070,0.616231,-0.349007,0.442423,0.590458,-0.358210,0.444454,0.648751
0.250000,-0.372271,0.488046,0.616228,-0.349012,0.442420,0.590433,-0.358212,0.444460,0.648734
0.260000,-0.372256,0.488070,0.616186,-0.349017,0.442415,0.590424,-0.358225,0.444465,0.648710
0.270000,-0.372264,0.488062,0.616168,-0.349035,0.442397,0.590397,-0.358236,0.444455,0.648687
0.280000,-0.372272,0.488053,0.616130,-0.349053,0.442403,0.590356,-0.358274,0.444409,0.648617
0.290000,-0.372280,0.488045,0.616085,-0.349066,0.442389,0.590324,-0.358302,0.444395,0.648565
0.300000,-0.372306,0.488039,0.616040,-0.349079,0.442387,0.590294,-0.358302,0.444402,0.648536
0.310000,-0.372316,0.488061,0.616008,-0.349095,0.442385,0.590262,-0.358316,0.444424,0.648495
0.320000,-0.372344,0.488060,0.615959,-0.349110,0.442393,0.590226,-0.358324,0.444436,0.648425
0.330000,-0.372369,0.488073,0.615926,-0.349147,0.442397,0.590178,-0.358350,0.444441,0.648378
0.340000,-0.372388,0.488090,0.615888,-0.349149,0.442431,0.590152,-0.358345,0.444478,0.648349
0.350000,-0.372414,0.488096,0.615866,-0.349191,0.442429,0.590125,-0.358361,0.444494,0.648318
0.360000,-0.372438,0.488120,0.615843,-0.349198,0.442459,0.590104,-0.358384,0.444504,0.648286
0.370000,-0.372461,0.488126,0.615818,-0.349198,0.442477,0.590084,-0.358385,0.444533,0.648279
0.380000,-0.372482,0.488146,0.615808,-0.349224,0.442485,0.590080,-0.358408,0.444561,0.648257
0.390000,-0.372509,0.488158,0.615803,-0.349238,0.442494,0.590076,-0.358427,0.444553,0.648245
0.400000,-0.372531,0.488160,0.615810,-0.349243,0.442511,0.590083,-0.358444,0.444560,0.648250
