Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.014730,0.066410,0.573121,0.050609,0.021150,0.582547,-0.006597,0.011040,0.570628
0.010000,0.014714,0.066362,0.573130,0.050595,0.021133,0.582564,-0.006605,0.011014,0.570633
0.020000,0.014714,0.066362,0.573135,0.050591,0.021139,0.582556,-0.006609,0.011003,0.570643
0.030000,0.014729,0.066375,0.573129,0.050583,0.021102,0.582569,-0.006613,0.010998,0.570639
0.040000,0.014705,0.066349,0.573143,0.050579,0.021112,0.582566,-0.006642,0.011011,0.570649
0.050000,0.014724,0.066378,0.573140,0.050589,0.021092,0.582562,-0.006628,0.010991,0.570642
0.060000,0.014725,0.066315,0.573154,0.050590,0.021068,0.582571,-0.006614,0.010938,0.570654
0.070000,0.014724,0.066298,0.573155,0.050592,0.021065,0.582552,-0.006618,0.010952,0.570660
0.080000,0.014724,0.066292,0.573168,0.050604,0.021082,0.582561,-0.006618,0.010945,0.570660
0.090000,0.014723,0.066297,0.573164,0.050581,0.021048,0.582569,-0.006635,0.010960,0.570669
0.100000,0.014712,0.066280,0.573169,0.050580,0.021043,0.582563,-0.006651,0.010927,0.570673
0.110000,0.014708,0.066286,0.573175,0.050563,0.021025,0.582566,-0.006649,0.010898,0.570672
0.120000,0.014693,0.066261,0.573175,0.050549,0.021014,0.582554,-0.006683,0.010908,0.570671
0.130000,0.014665,0.066277,0.573170,0.050532,0.021003,0.582563,-0.006707,0.010865,0.570667
0.140000,0.014654,0.066253,0.573179,0.050496,0.020967,0.582550,-0.006714,0.010844,0.570660
0.150000,0.014647,0.066230,0.573185,0.050478,0.020950,0.582543,-0.006748,0.010827,0.570657
0.160000,0.014633,0.066218,0.573191,0.050463,0.020944,0.582544,-0.006773,0.010844,0.570651
0.170000,0.014624,0.066212,0.573195,0.050441,0.020903,0.582546,-0.006790,0.010805,0.570658
0.180000,0.014608,0.066218,0.573211,0.050413,0.020879,0.582549,-0.006799,0.010769,0.570661
0.190000,0.014592,0.066211,0.573211,0.050413,0.020887,0.582549,-0.006815,0.010779,0.570673
0.200000,0.014592,0.066210,0.573214,0.050384,0.020843,0.582545,-0.006819,0.010777,0.570673
0.210000,0.014589,0.066208,0.573205,0.050403,0.020870,0.582544,-0.006806,0.010751,0.570674
0.220000,0.014587,0.066200,0.573199,0.050414,0.020873,0.582538,-0.006797,0.010752,0.570672
