Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.022873,0.066373,0.583839,0.056158,0.018703,0.590075,-0.003300,0.015800,0.587843
0.010000,0.022892,0.066395,0.583828,0.056184,0.018710,0.590080,-0.003296,0.015778,0.587831
0.020000,0.022901,0.066391,0.583824,0.056202,0.018717,0.590045,-0.003279,0.015781,0.587823
0.030000,0.022913,0.066402,0.583812,0.056208,0.018707,0.590036,-0.003275,0.015792,0.587823
0.040000,0.022934,0.066395,0.583804,0.056245,0.018715,0.590031,-0.003251,0.015778,0.587814
0.050000,0.022946,0.066389,0.583792,0.056260,0.018742,0.590029,-0.003230,0.015816,0.587822
0.060000,0.022958,0.066379,0.583790,0.056263,0.018700,0.590007,-0.003207,0.015803,0.587819
0.070000,0.023374,0.066983,0.583858,0.056291,0.018714,0.590005,-0.003206,0.015808,0.587813
0.080000,0.023355,0.066959,0.583840,0.056059,0.018979,0.590086,-0.003193,0.015781,0.587808
0.090000,0.023368,0.066959,0.583838,0.056284,0.018716,0.589965,-0.003187,0.015785,0.587787
0.100000,0.023378,0.066960,0.583831,0.056074,0.018976,0.590068,-0.003170,0.015800,0.587800
0.110000,0.023381,0.066960,0.583821,0.056080,0.018964,0.590054,-0.003167,0.015780,0.587779
0.120000,0.023377,0.066939,0.583817,0.056072,0.018958,0.590038,-0.003175,0.015761,0.587784
0.130000,0.023398,0.066918,0.583809,0.056341,0.018710,0.589935,-0.003154,0.015759,0.587778
0.140000,0.023422,0.066925,0.583827,0.056107,0.018936,0.590031,-0.003149,0.015774,0.587774
0.150000,0.023435,0.066910,0.583826,0.056130,0.018951,0.590032,-0.003126,0.015748,0.587790
0.160000,0.023449,0.066894,0.583822,0.056126,0.018955,0.590001,-0.003114,0.015744,0.587788
0.170000,0.023452,0.066895,0.583824,0.056147,0.018948,0.590014,-0.003104,0.015740,0.587782
0.180000,0.023450,0.066882,0.583817,0.056156,0.018938,0.590006,-0.003095,0.015747,0.587789
0.190000,0.023441,0.066884,0.583805,0.056153,0.018924,0.590005,-0.003091,0.015740,0.587793
0.200000,0.023454,0.066878,0.583833,0.056155,0.018919,0.590019,-0.003094,0.015745,0.587798
0.210000,0.023467,0.066871,0.583842,0.056167,0.018901,0.590024,-0.003086,0.015749,0.587811
0.220000,0.023474,0.066871,0.583856,0.056163,0.018912,0.590032,-0.003081,0.015740,0.587830
0.230000,0.023474,0.066864,0.583863,0.056176,0.018896,0.590030,-0.003069,0.015713,0.587837
0.240000,0.023471,0.066847,0.583852,0.056175,0.018857,0.590026,-0.003072,0.015707,0.587834
0.250000,0.023462,0.066823,0.583855,0.056169,0.018865,0.590024,-0.003076,0.015709,0.587828
0.260000,0.023449,0.066841,0.583832,0.056156,0.018866,0.590014,-0.003087,0.015674,0.587809
